44040201,40,2013/12/12,2013/12/12 12:56,2013/7/16 15:18,DoCoMo,DoCoMo/2.0 CA01C(c500;TB;W24H16)
64121507,40,2014/2/11,2014/2/11 8:49,2013/6/29 0:29,DoCoMo,DoCoMo/2.0 D905i(c100;TB;W24H17)
44740507,40,2014/3/16,2014/3/16 0:26,2013/3/22 13:59,DoCoMo,DoCoMo/2.0 D905i(c100;TB;W30H22)
61642984,40,2014/2/4,2014/2/4 17:06,2013/4/20 13:07,DoCoMo,DoCoMo/2.0 D905i(c100;TB;W30H22)
5030087,40,2013/6/6,2013/6/6 21:53,2013/4/19 7:59,DoCoMo,DoCoMo/2.0 F01A(c100;TB;W24H17)
37481382,40,2013/4/6,2013/4/6 0:08,2013/3/22 19:58,DoCoMo,DoCoMo/2.0 F01A(c100;TB;W24H17)
37946116,40,2013/6/8,2013/6/8 20:21,2013/3/25 11:29,DoCoMo,DoCoMo/2.0 F01B(c500;TB;W24H16)
40718951,40,2014/1/4,2014/1/4 11:01,2013/3/27 13:01,DoCoMo,DoCoMo/2.0 F01B(c500;TB;W24H16)
42678966,40,2014/4/4,2014/4/4 9:31,2013/3/22 8:52,DoCoMo,DoCoMo/2.0 F01C(c500;TB;W24H16)
74023710,40,2013/5/2,2013/5/2 7:33,2013/4/22 2:47,DoCoMo,DoCoMo/2.0 F01C(c500;TB;W24H16)
35512800,40,2014/2/11,2014/2/11 2:11,2013/3/22 22:16,DoCoMo,DoCoMo/2.0 F01C(c500;TB;W30H20)
49385616,40,2014/2/25,2014/2/25 0:07,2014/2/21 14:09,DoCoMo,DoCoMo/2.0 F01C(c500;TB;W30H20)
9283771,40,2014/4/4,2014/4/4 7:31,2013/3/23 8:53,DoCoMo,DoCoMo/2.0 F01E(c500;TB;W30H20)
38325369,40,2014/3/19,2014/3/19 8:23,2013/3/22 13:45,DoCoMo,DoCoMo/2.0 F02A(c100;TB;W24H17)
35446534,40,2014/3/22,2014/3/22 18:28,2013/4/6 19:56,DoCoMo,DoCoMo/2.0 F02D(c500;TB;W20H13)
74827447,40,2013/12/3,2013/12/3 5:23,2013/7/24 5:28,DoCoMo,DoCoMo/2.0 F02D(c500;TB;W20H13)
11771950,40,2013/4/25,2013/4/25 9:52,2013/3/23 21:22,DoCoMo,DoCoMo/2.0 F02D(c500;TB;W24H16)
67644754,40,2014/1/5,2014/1/5 13:15,2013/12/27 5:32,DoCoMo,DoCoMo/2.0 F02D(c500;TB;W24H16)
70569474,40,2013/10/12,2013/10/12 23:21,2013/3/28 20:09,DoCoMo,DoCoMo/2.0 F02D(c500;TB;W30H20)
38338316,40,2014/1/8,2014/1/8 8:45,2013/3/28 19:29,DoCoMo,DoCoMo/2.0 F03C(c500;TB;W24H16)
49324900,40,2013/9/26,2013/9/26 20:22,2013/3/29 18:47,DoCoMo,DoCoMo/2.0 F03C(c500;TB;W30H20)
36764704,40,2014/3/9,2014/3/9 19:03,2013/3/26 14:44,DoCoMo,DoCoMo/2.0 F05C(c500;TB;W24H16)
42705828,40,2014/1/2,2014/1/2 3:43,2013/3/28 20:03,DoCoMo,DoCoMo/2.0 F05C(c500;TB;W24H16)
59611120,40,2014/1/25,2014/1/25 22:43,2013/3/22 21:49,DoCoMo,DoCoMo/2.0 F05C(c500;TB;W30H20)
11075099,40,2013/6/4,2013/6/4 12:23,2013/5/21 12:16,DoCoMo,DoCoMo/2.0 F06B(c500;TB;W20H13)
40601587,40,2014/4/2,2014/4/2 23:35,2013/4/21 23:07,DoCoMo,DoCoMo/2.0 F06B(c500;TB;W20H13)
46514264,40,2014/3/12,2014/3/12 12:37,2013/3/22 22:38,DoCoMo,DoCoMo/2.0 F06B(c500;TB;W24H16)
1147680,40,2013/8/5,2013/8/5 0:38,2013/6/5 0:32,DoCoMo,DoCoMo/2.0 F06B(c500;TB;W30H20)
39888276,40,2013/7/2,2013/7/2 22:18,2013/4/30 16:22,DoCoMo,DoCoMo/2.0 F06B(c500;TB;W30H20)
47051416,40,2013/9/17,2013/9/17 8:25,2013/8/21 16:10,DoCoMo,DoCoMo/2.0 F06D(c500;TB;W24H16)
53955241,40,2014/4/2,2014/4/2 18:09,2013/3/22 20:39,DoCoMo,DoCoMo/2.0 F07B(c500;TB;W24H16)
37562408,40,2013/6/30,2013/6/30 4:18,2013/3/30 9:49,DoCoMo,DoCoMo/2.0 F08B(c500;TB;W24H17)
46765368,40,2013/4/19,2013/4/19 0:20,2013/3/27 0:03,DoCoMo,DoCoMo/2.0 F09A3(c500;TB;W30H25)
13913554,40,2013/8/29,2013/8/29 23:16,2013/3/22 12:35,DoCoMo,DoCoMo/2.0 F09C(c500;TB;W30H20)
246273,40,2014/4/2,2014/4/2 21:05,2013/3/22 15:49,DoCoMo,DoCoMo/2.0 F11C(c500;TB;W24H16)
11370180,40,2014/3/31,2014/3/31 14:03,2013/3/28 22:39,DoCoMo,DoCoMo/2.0 F11C(c500;TB;W24H17)
41775468,40,2013/4/15,2013/4/15 19:04,2013/3/23 1:40,DoCoMo,DoCoMo/2.0 F905i(c100;TB;W24H17)
35116574,40,2014/1/28,2014/1/28 5:38,2013/3/26 8:36,DoCoMo,DoCoMo/2.0 N01A(c100;TB;W24H16)
1670073,40,2014/2/12,2014/2/12 13:24,2013/7/17 15:48,DoCoMo,DoCoMo/2.0 N02C(c500;TB;W24H16)
48738553,40,2013/12/25,2013/12/25 22:49,2013/6/25 0:34,DoCoMo,DoCoMo/2.0 N02C(c500;TB;W24H16)
9608023,40,2014/3/9,2014/3/9 13:02,2013/4/12 1:31,DoCoMo,DoCoMo/2.0 N02C(c500;TB;W30H20)
1665021,40,2013/10/28,2013/10/28 18:01,2013/7/27 16:54,DoCoMo,DoCoMo/2.0 N02D(c500;TB;W30H20)
46334230,40,2013/5/12,2013/5/12 8:21,2013/3/28 22:15,DoCoMo,DoCoMo/2.0 N03B(c500;TB;W24H16)
32979746,40,2014/1/7,2014/1/7 5:20,2013/3/27 23:12,DoCoMo,DoCoMo/2.0 N03D(c500;TB;W24H16)
74340003,40,2013/9/24,2013/9/24 2:04,2013/5/13 3:43,DoCoMo,DoCoMo/2.0 N03D(c500;TB;W24H16)
70419406,40,2013/5/8,2013/5/8 11:27,2013/4/8 22:20,DoCoMo,DoCoMo/2.0 N04A(c100;TB;W24H16)
3323184,40,2013/6/21,2013/6/21 3:19,2013/3/22 15:09,DoCoMo,DoCoMo/2.0 N04B(c500;TB;W24H16)
35261849,40,2013/7/28,2013/7/28 8:25,2013/6/30 13:37,DoCoMo,DoCoMo/2.0 N04B(c500;TB;W24H16)
63393635,40,2014/3/5,2014/3/5 15:27,2013/6/19 1:17,DoCoMo,DoCoMo/2.0 N04B(c500;TB;W30H20)
1266716,40,2014/3/5,2014/3/5 22:45,2013/5/14 16:39,DoCoMo,DoCoMo/2.0 N05B(c500;TB;W24H16)
3765390,40,2014/4/4,2014/4/4 7:16,2013/4/22 0:44,DoCoMo,DoCoMo/2.0 N05B(c500;TB;W24H16)
31334423,40,2013/6/26,2013/6/26 13:02,2013/3/28 19:44,DoCoMo,DoCoMo/2.0 N05C(c500;TB;W30H20)
31449244,40,2013/7/28,2013/7/28 19:02,2013/6/29 21:55,DoCoMo,DoCoMo/2.0 N05C(c500;TB;W30H20)
58130836,40,2013/8/1,2013/8/1 0:39,2013/5/5 5:02,DoCoMo,DoCoMo/2.0 N05C(c500;TB;W30H20)
46325939,40,2013/5/13,2013/5/13 5:26,2013/3/22 12:46,DoCoMo,DoCoMo/2.0 N07B(c500;TB;W24H16)
4522300,40,2013/12/26,2013/12/26 1:41,2013/3/22 20:01,DoCoMo,DoCoMo/2.0 N08A3(c500;TB;W30H20)
37780203,40,2013/9/7,2013/9/7 6:51,2013/7/31 15:51,DoCoMo,DoCoMo/2.0 N08B(c500;TB;W30H15)
7057178,40,2013/10/27,2013/10/27 23:44,2013/9/30 8:16,DoCoMo,DoCoMo/2.0 N705imyu(c100;TB;W24H16)
47229323,40,2014/4/4,2014/4/4 1:19,2013/3/23 8:24,DoCoMo,DoCoMo/2.0 N705imyu(c100;TB;W24H16)
43549234,40,2014/1/1,2014/1/1 16:02,2013/4/25 4:27,DoCoMo,DoCoMo/2.0 N905i(c100;TB;W30H20)
35419982,40,2013/5/18,2013/5/18 17:51,2013/3/22 17:21,DoCoMo,DoCoMo/2.0 N906i(c100;TB;W24H16)
63803484,40,2014/3/30,2014/3/30 12:29,2013/3/24 15:44,DoCoMo,DoCoMo/2.0 N906imyu(c100;TB;W24H16)
11882483,40,2014/1/26,2014/1/26 23:34,2013/7/8 0:14,DoCoMo,DoCoMo/2.0 P01A(c100;TB;W24H15)
4916744,40,2014/3/7,2014/3/7 6:51,2013/3/23 17:02,DoCoMo,DoCoMo/2.0 P01B(c500;TB;W24H16)
75797927,40,2013/5/2,2013/5/2 2:45,2013/4/14 13:06,DoCoMo,DoCoMo/2.0 P01E(c500;TB;W24H16)
40857259,40,2013/9/16,2013/9/16 14:57,2013/3/22 14:10,DoCoMo,DoCoMo/2.0 P02A(c100;TB;W30H19)
7947754,40,2014/1/7,2014/1/7 10:59,2013/3/28 20:00,DoCoMo,DoCoMo/2.0 P02B(c500;TB;W24H16)
44869494,40,2013/8/7,2013/8/7 13:52,2013/3/22 17:17,DoCoMo,DoCoMo/2.0 P02B(c500;TB;W24H16)
84072371,40,2013/12/24,2013/12/24 2:48,2013/12/7 0:24,DoCoMo,DoCoMo/2.0 P02B(c500;TB;W24H16)
49511267,40,2014/4/1,2014/4/1 0:20,2013/3/22 23:08,DoCoMo,DoCoMo/2.0 P02C(c500;TB;W24H16)
35471965,40,2013/9/8,2013/9/8 19:32,2013/7/25 4:46,DoCoMo,DoCoMo/2.0 P03B(c500;TB;W24H16)
49821951,40,2013/7/30,2013/7/30 21:22,2013/5/5 6:47,DoCoMo,DoCoMo/2.0 P03C(c500;TB;W24H16)
