"7277597","15","892","2013-05-14","1","2013-05-14 04:53:39","2013-04-01 12:21:33","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"8302836","2","10","2013-05-08","1","2013-05-08 18:57:51","2013-05-08 18:55:43","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"8395478","2","10","2013-05-08","1","2013-05-08 19:01:25","2013-05-08 19:00:06","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"8610112","2","10","2013-08-07","1","2013-08-07 22:53:28","2013-05-08 18:32:37","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"8648849",NULL,NULL,"2013-03-26","1","2013-03-26 20:51:46","2013-03-22 13:11:05","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"8701818","2","10","2013-05-08","1","2013-05-08 22:44:37","2013-05-08 22:43:22","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"8988180","2","10","2013-07-23","1","2013-07-23 19:24:18","2013-05-08 16:53:01","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"8988222","2","10","2013-05-12","1","2013-05-12 21:39:46","2013-05-12 21:38:33","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"9072492","20","1733","2013-07-05","1","2013-07-05 13:01:32","2013-03-26 20:56:47","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"9838251","2","10","2013-05-14","1","2013-05-14 21:01:26","2013-05-14 21:00:04","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"9885458","22","2051","2013-10-10","1","2013-10-10 02:08:19","2013-09-19 19:24:32","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"9947603",NULL,NULL,NULL,"1",NULL,"2013-05-09 22:07:38","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"9947983","2","10","2013-05-18","1","2013-05-18 01:44:39","2013-05-09 02:01:14","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"10255754","2","10","2013-05-10","1","2013-05-10 13:02:15","2013-05-10 13:00:58","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"10609973","2","10","2013-05-08","1","2013-05-08 21:43:51","2013-05-08 21:42:51","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"10802806",NULL,NULL,"2013-03-22","1","2013-03-22 13:05:20","2013-03-22 13:02:15","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"11178873","2","10","2013-05-08","1","2013-05-08 23:30:46","2013-05-08 23:29:41","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"11372030","144","333759","2014-04-03","1","2014-04-03 21:46:41","2013-03-22 22:35:33","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
"11683855","3","30","2013-05-14","1","2013-05-14 18:02:09","2013-05-14 18:00:15","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
"12277056","2","19","2013-10-12","1","2013-10-12 21:21:55","2013-03-25 23:17:47","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
"12350637","3","40","2013-05-07","1","2013-05-07 00:04:39","2013-04-20 00:26:46","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"12741000","34","6547","2013-12-01","1","2013-12-01 02:35:16","2013-04-23 13:49:10","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"12801562","2","10","2013-05-08","1","2013-05-08 17:56:00","2013-05-08 17:54:59","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"13171687",NULL,NULL,"2013-04-07","1","2013-04-07 22:41:11","2013-04-07 22:23:45","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"13274178","55","23956","2013-05-02","1","2013-05-02 08:23:05","2013-03-25 08:37:22","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"14093487","22","2170","2013-09-26","1","2013-09-26 17:14:50","2013-04-09 15:36:43","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"14762373",NULL,NULL,"2013-03-29","1","2013-03-29 19:27:49","2013-03-29 19:26:21","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
